,Market_Segment,Vertical_Market,Region,Net_Price,buys_both
0,COMMERCIAL,Professional_Services,GEO_1,5.849840781,1
1,PUBLIC SECTOR,Government,GEO_1,5.847366417666667,0
2,ENTERPRISE,Government,GEO_1,5.84596999,0
3,PUBLIC SECTOR,Financial_Services,GEO_1,5.842461333666667,1
4,ENTERPRISE,Professional_Services,GEO_1,5.841324165,0
5,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.838741311,0
6,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.830128110714286,0
7,PUBLIC SECTOR,Government,GEO_2,5.827537061,0
8,PUBLIC SECTOR,Health_Care,GEO_1,5.8249970145,0
9,COMMERCIAL,Professional_Services,GEO_1,5.823467524666667,1
10,SERVICE PROVIDER,Service_Provider,GEO_1,5.82118056,0
11,PUBLIC SECTOR,Government,GEO_2,5.817856603,0
12,ENTERPRISE,Manufacturing,GEO_2,5.812281315,0
13,COMMERCIAL,Professional_Services,GEO_2,5.8093559705,0
14,COMMERCIAL,Government,GEO_2,5.807345301,0
15,PUBLIC SECTOR,Government,GEO_3,5.8063075416666665,1
16,SMB,Health_Care,GEO_2,5.8045803795,0
17,COMMERCIAL,WholeSale-Distribution,GEO_3,5.803339559,0
18,PUBLIC SECTOR,Government,GEO_2,5.802377524500001,0
19,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.801612308,0
20,COMMERCIAL,Media-Entertainment,GEO_2,5.800273541999999,0
21,COMMERCIAL,Health_Care,GEO_2,5.799824819,0
22,ENTERPRISE,Financial_Services,GEO_1,5.798467509,0
23,COMMERCIAL,Professional_Services,GEO_2,5.795362983,0
24,COMMERCIAL,Retail,GEO_2,5.793306986999999,1
25,ENTERPRISE,Technical_Services,GEO_1,5.792592732,0
26,SERVICE PROVIDER,Service_Provider,GEO_3,5.789516471,0
27,ENTERPRISE,Health_Care,GEO_2,5.7822630872,0
28,COMMERCIAL,Health_Care,GEO_2,5.777698686,0
29,PUBLIC SECTOR,Government,GEO_2,5.771999981,0
30,PUBLIC SECTOR,Health_Care,GEO_1,5.771825583,0
31,ENTERPRISE,Manufacturing,GEO_2,5.769066701,0
32,ENTERPRISE,Manufacturing,GEO_2,5.761762905,0
33,COMMERCIAL,Professional_Services,GEO_2,5.759980806,0
34,ENTERPRISE,Manufacturing,GEO_2,5.758655186,0
35,ENTERPRISE,Financial_Services,GEO_2,5.751811704,0
36,COMMERCIAL,Retail,GEO_3,5.751365264,0
37,ENTERPRISE,Health_Care,GEO_2,5.748905251,1
38,PUBLIC SECTOR,Government,GEO_1,5.729407274,0
39,PUBLIC SECTOR,Transportation,GEO_2,5.728938841,0
40,ENTERPRISE,Manufacturing,GEO_1,5.727821326,0
41,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.727696909,0
42,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.724746446,0
43,SERVICE PROVIDER,Service_Provider,GEO_1,5.724360551,0
44,SERVICE PROVIDER,Government,GEO_3,5.723368716,0
45,ENTERPRISE,Professional_Services,GEO_2,5.720787082499999,0
46,PUBLIC SECTOR,Government,GEO_2,5.718608845,0
47,COMMERCIAL,Professional_Services,GEO_2,5.7166819245,0
48,ENTERPRISE,Financial_Services,GEO_2,5.713781138,0
49,ENTERPRISE,Technical_Services,GEO_2,5.71346377675,0
50,COMMERCIAL,Manufacturing,GEO_2,5.711270623,0
51,SERVICE PROVIDER,Service_Provider,GEO_2,5.708487652,0
52,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.703603838,0
53,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.695634318,0
54,ENTERPRISE,Financial_Services,GEO_3,5.691191185,0
55,PUBLIC SECTOR,Health_Care,GEO_2,5.6884557795,0
56,COMMERCIAL,Retail,GEO_2,5.688150181,0
57,PUBLIC SECTOR,Transportation,GEO_1,5.679841907,0
58,SMB,Transportation,GEO_2,5.679479031,0
59,COMMERCIAL,Retail,GEO_2,5.675065303,0
60,PUBLIC SECTOR,Retail,GEO_1,5.658415410333333,1
61,COMMERCIAL,Financial_Services,GEO_3,5.656912778,0
62,ENTERPRISE,Financial_Services,GEO_2,5.6567835525,0
63,PUBLIC SECTOR,Government,GEO_1,5.653539151,0
64,COMMERCIAL,Transportation,GEO_2,5.648634066,0
65,PUBLIC SECTOR,Government,GEO_2,5.646925931,0
66,PUBLIC SECTOR,Health_Care,GEO_1,5.6451049095000005,0
67,COMMERCIAL,Retail,GEO_2,5.644853437,1
68,PUBLIC SECTOR,Government,GEO_2,5.644477762,0
69,SMB,WholeSale-Distribution,GEO_1,5.64246059,0
70,ENTERPRISE,Financial_Services,GEO_1,5.641177146,0
71,ENTERPRISE,Financial_Services,GEO_2,5.639382344,0
72,PUBLIC SECTOR,Education-Public_Private,GEO_1,5.638367467,0
73,COMMERCIAL,Technical_Services,GEO_2,5.63500593,0
74,COMMERCIAL,Financial_Services,GEO_1,5.634508241,0
75,PUBLIC SECTOR,Government,GEO_1,5.622264593,0
76,ENTERPRISE,Manufacturing,GEO_1,5.619661689,0
77,PUBLIC SECTOR,Government,GEO_2,5.61362525475,0
78,ENTERPRISE,Manufacturing,GEO_3,5.611064156,0
79,COMMERCIAL,Manufacturing,GEO_2,5.610977718,0
80,PUBLIC SECTOR,Government,GEO_1,5.607543529,0
81,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.605164619,0
82,COMMERCIAL,Retail,GEO_2,5.600513086333334,0
83,COMMERCIAL,Manufacturing,GEO_2,5.597514318,0
84,SERVICE PROVIDER,Service_Provider,GEO_3,5.5972627805,0
85,ENTERPRISE,Transportation,GEO_2,5.5970024576,1
86,PUBLIC SECTOR,Government,GEO_2,5.590850577,0
87,ENTERPRISE,Financial_Services,GEO_3,5.590792859,0
88,ENTERPRISE,Health_Care,GEO_2,5.5890496544,0
89,PUBLIC SECTOR,Education-Public_Private,GEO_1,5.581479363,0
90,ENTERPRISE,Financial_Services,GEO_1,5.5808458094999995,0
91,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.579280336,0
92,COMMERCIAL,WholeSale-Distribution,GEO_1,5.578874641,0
93,COMMERCIAL,Financial_Services,GEO_3,5.578797535,0
94,PUBLIC SECTOR,Financial_Services,GEO_2,5.576301582,0
95,PUBLIC SECTOR,Government,GEO_1,5.568152087,0
96,PUBLIC SECTOR,Professional_Services,GEO_2,5.567924263,0
97,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.563506381333333,1
98,PUBLIC SECTOR,Government,GEO_2,5.559614967,0
99,COMMERCIAL,Professional_Services,GEO_1,5.559209707,0
100,COMMERCIAL,Transportation,GEO_2,5.554567836333334,0
101,ENTERPRISE,Transportation,GEO_2,5.552049255,0
102,PUBLIC SECTOR,Transportation,GEO_2,5.5507814626666665,0
103,COMMERCIAL,Professional_Services,GEO_2,5.550680056,1
104,PUBLIC SECTOR,Government,GEO_2,5.549053198499999,0
105,ENTERPRISE,Transportation,GEO_2,5.547302371333333,0
106,COMMERCIAL,Professional_Services,GEO_2,5.5463685675,0
107,PUBLIC SECTOR,Technical_Services,GEO_3,5.540434331,0
108,ENTERPRISE,Financial_Services,GEO_2,5.539039599,0
109,PUBLIC SECTOR,Government,GEO_1,5.536133734,0
110,ENTERPRISE,Manufacturing,GEO_2,5.532344108,0
111,COMMERCIAL,Financial_Services,GEO_3,5.529885797,0
112,ENTERPRISE,Financial_Services,GEO_1,5.527360567000001,0
113,COMMERCIAL,Financial_Services,GEO_1,5.5269871885,0
114,COMMERCIAL,Professional_Services,GEO_1,5.51952714,0
115,PUBLIC SECTOR,Professional_Services,GEO_1,5.51952714,0
116,ENTERPRISE,Energy_Utilities,GEO_1,5.518464251199999,0
117,COMMERCIAL,Retail,GEO_2,5.51741838,0
118,PUBLIC SECTOR,Government,GEO_2,5.511894756,0
119,COMMERCIAL,Manufacturing,GEO_2,5.5112215645,0
120,COMMERCIAL,Financial_Services,GEO_1,5.50426078,0
121,COMMERCIAL,Professional_Services,GEO_2,5.5021541885,0
122,PUBLIC SECTOR,Government,GEO_2,5.5008612005,0
123,PUBLIC SECTOR,Transportation,GEO_1,5.500404471,0
124,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.4961347205,0
125,ENTERPRISE,Technical_Services,GEO_3,5.494622615,0
126,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.49450186,0
127,COMMERCIAL,Financial_Services,GEO_1,5.492918893,0
128,PUBLIC SECTOR,Financial_Services,GEO_1,5.492247801,0
129,SERVICE PROVIDER,Media-Entertainment,GEO_1,5.491334083,0
130,ENTERPRISE,Manufacturing,GEO_2,5.490723125,0
131,PUBLIC SECTOR,Government,GEO_3,5.490359627,0
132,COMMERCIAL,Financial_Services,GEO_3,5.4903077,0
133,COMMERCIAL,Retail,GEO_2,5.48784261625,1
134,COMMERCIAL,Professional_Services,GEO_2,5.484237995,0
135,PUBLIC SECTOR,Government,GEO_2,5.476824185,0
136,COMMERCIAL,Health_Care,GEO_2,5.47566391,0
137,PUBLIC SECTOR,Education-Public_Private,GEO_1,5.474784612,0
138,PUBLIC SECTOR,Government,GEO_2,5.4736977375,0
139,ENTERPRISE,Health_Care,GEO_2,5.473351773,0
140,COMMERCIAL,Financial_Services,GEO_2,5.473071844,0
141,PUBLIC SECTOR,Government,GEO_1,5.472685889,0
142,ENTERPRISE,Professional_Services,GEO_1,5.471773371,0
143,COMMERCIAL,Professional_Services,GEO_2,5.470977585,0
144,PUBLIC SECTOR,Government,GEO_1,5.470810613,0
145,COMMERCIAL,Retail,GEO_2,5.468464266,0
146,SERVICE PROVIDER,Service_Provider,GEO_3,5.468368776,0
147,COMMERCIAL,Manufacturing,GEO_2,5.468253855,0
148,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.4657672475000005,0
149,PUBLIC SECTOR,Government,GEO_2,5.4648311805,0
150,COMMERCIAL,Retail,GEO_2,5.460997858,0
151,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.457511243,0
152,PUBLIC SECTOR,Government,GEO_2,5.45640347,0
153,PUBLIC SECTOR,Media-Entertainment,GEO_1,5.45556924,0
154,ENTERPRISE,Transportation,GEO_1,5.454352055166667,1
155,COMMERCIAL,Manufacturing,GEO_2,5.4540948836666665,0
156,SMB,Professional_Services,GEO_2,5.451241932,0
157,COMMERCIAL,Manufacturing,GEO_2,5.451107254,0
158,ENTERPRISE,Health_Care,GEO_2,5.450700175461539,1
159,PUBLIC SECTOR,Financial_Services,GEO_1,5.4444399924999995,1
160,PUBLIC SECTOR,Government,GEO_2,5.440910874,0
161,ENTERPRISE,Financial_Services,GEO_1,5.439311405333334,0
162,COMMERCIAL,Retail,GEO_2,5.437929487,1
163,ENTERPRISE,Financial_Services,GEO_1,5.437489162,0
164,COMMERCIAL,Technical_Services,GEO_2,5.433600290555556,1
165,COMMERCIAL,Retail,GEO_2,5.433405551,1
166,ENTERPRISE,Financial_Services,GEO_1,5.432589924,0
167,COMMERCIAL,Financial_Services,GEO_2,5.430943507,0
168,COMMERCIAL,Retail,GEO_1,5.429633363,0
169,PUBLIC SECTOR,Government,GEO_3,5.428363706777778,0
170,COMMERCIAL,Manufacturing,GEO_3,5.428056137,0
171,ENTERPRISE,Manufacturing,GEO_1,5.4242476664999995,0
172,PUBLIC SECTOR,Government,GEO_2,5.421557337,0
173,ENTERPRISE,Financial_Services,GEO_2,5.419033122,0
174,PUBLIC SECTOR,Government,GEO_1,5.416756746333334,0
175,COMMERCIAL,WholeSale-Distribution,GEO_1,5.416249877,0
176,PUBLIC SECTOR,Government,GEO_3,5.415781471,0
177,PUBLIC SECTOR,Government,GEO_3,5.415474828,0
178,ENTERPRISE,Financial_Services,GEO_1,5.414839359,0
179,COMMERCIAL,Media-Entertainment,GEO_2,5.412690421333333,1
180,PUBLIC SECTOR,Energy_Utilities,GEO_2,5.41250238025,0
181,PUBLIC SECTOR,Government,GEO_3,5.4124079475,0
182,COMMERCIAL,Manufacturing,GEO_3,5.411305725,0
183,PUBLIC SECTOR,Professional_Services,GEO_1,5.410069069,0
184,COMMERCIAL,Technical_Services,GEO_2,5.408775442,0
185,COMMERCIAL,Retail,GEO_1,5.408497494,0
186,ENTERPRISE,Financial_Services,GEO_2,5.408444866,0
187,COMMERCIAL,Technical_Services,GEO_2,5.405569863,0
188,COMMERCIAL,Manufacturing,GEO_1,5.403921555,0
189,PUBLIC SECTOR,Government,GEO_3,5.403388488,0
190,COMMERCIAL,Health_Care,GEO_2,5.402988255,0
191,COMMERCIAL,Retail,GEO_1,5.402298955,0
192,COMMERCIAL,Government,GEO_1,5.401400057,0
193,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.399069856,0
194,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.398751039,0
195,PUBLIC SECTOR,Government,GEO_2,5.39796230225,0
196,PUBLIC SECTOR,Government,GEO_1,5.395896977666666,0
197,COMMERCIAL,Professional_Services,GEO_2,5.395455311,0
198,COMMERCIAL,Professional_Services,GEO_2,5.395259896,0
199,PUBLIC SECTOR,Government,GEO_2,5.392257928,0
200,COMMERCIAL,Professional_Services,GEO_2,5.391281406999999,0
201,COMMERCIAL,Financial_Services,GEO_2,5.389650124,0
202,PUBLIC SECTOR,Government,GEO_2,5.384696404,0
203,PUBLIC SECTOR,Government,GEO_2,5.383457071333333,0
204,PUBLIC SECTOR,Professional_Services,GEO_1,5.3830917036666674,0
205,SERVICE PROVIDER,Professional_Services,GEO_3,5.3805208140000005,0
206,PUBLIC SECTOR,Technical_Services,GEO_1,5.379481824,0
207,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.377894522,0
208,COMMERCIAL,WholeSale-Distribution,GEO_2,5.3726652076666666,0
209,PUBLIC SECTOR,Professional_Services,GEO_2,5.3724833405000005,0
210,PUBLIC SECTOR,Education-Public_Private,GEO_1,5.372349793,0
211,SMB,Professional_Services,GEO_2,5.372141351,0
212,PUBLIC SECTOR,Government,GEO_3,5.371591630666667,0
213,ENTERPRISE,Health_Care,GEO_2,5.36942697075,0
214,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.3692301,0
215,PUBLIC SECTOR,Energy_Utilities,GEO_2,5.368169773,0
216,ENTERPRISE,Government,GEO_1,5.366933754,0
217,PUBLIC SECTOR,Government,GEO_1,5.365613557,0
218,ENTERPRISE,Technical_Services,GEO_3,5.365489993,0
219,ENTERPRISE,Retail,GEO_2,5.36531619675,1
220,COMMERCIAL,Retail,GEO_1,5.364881650499999,0
221,COMMERCIAL,Financial_Services,GEO_2,5.363184539,0
222,COMMERCIAL,Manufacturing,GEO_1,5.363100579,0
223,PUBLIC SECTOR,Government,GEO_1,5.361494574000001,0
224,COMMERCIAL,Media-Entertainment,GEO_1,5.360724525,0
225,PUBLIC SECTOR,Government,GEO_2,5.359679148,0
226,SMB,Professional_Services,GEO_2,5.359177912,0
227,ENTERPRISE,Transportation,GEO_1,5.356971597,0
228,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.3548081105000005,0
229,PUBLIC SECTOR,Health_Care,GEO_1,5.353776621,0
230,COMMERCIAL,Financial_Services,GEO_2,5.349645287,0
231,COMMERCIAL,Manufacturing,GEO_1,5.348966835,0
232,PUBLIC SECTOR,Manufacturing,GEO_1,5.348547453,0
233,PUBLIC SECTOR,Government,GEO_2,5.346461213,0
234,COMMERCIAL,Financial_Services,GEO_2,5.34598173725,0
235,COMMERCIAL,Financial_Services,GEO_3,5.342253061,0
236,COMMERCIAL,WholeSale-Distribution,GEO_1,5.339811852666666,1
237,COMMERCIAL,Financial_Services,GEO_2,5.339018094,0
238,COMMERCIAL,Media-Entertainment,GEO_2,5.338428899,0
239,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.338132701999999,0
240,COMMERCIAL,Media-Entertainment,GEO_1,5.337022505,0
241,COMMERCIAL,Education-Public_Private,GEO_2,5.336173644,0
242,COMMERCIAL,Technical_Services,GEO_2,5.334206207,0
243,COMMERCIAL,Government,GEO_1,5.333399777,0
244,COMMERCIAL,Health_Care,GEO_2,5.33278682,0
245,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.330404146,0
246,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.326753331666667,1
247,COMMERCIAL,Financial_Services,GEO_1,5.324702123,0
248,ENTERPRISE,Financial_Services,GEO_2,5.3244371565,0
249,COMMERCIAL,Government,GEO_1,5.324375778,0
250,PUBLIC SECTOR,Government,GEO_1,5.324135918666666,0
251,SERVICE PROVIDER,Technical_Services,GEO_2,5.323983641,0
252,PUBLIC SECTOR,Government,GEO_1,5.321229042000001,0
253,PUBLIC SECTOR,Education-Public_Private,GEO_2,5.319528447,0
254,PUBLIC SECTOR,Professional_Services,GEO_2,5.319395525,0
255,COMMERCIAL,Financial_Services,GEO_3,5.317845887,0
